trades,net,net_pct,pf,dd_pct,win_pct,recovery,passed,objective,EMAFast,EMAMid,RatioTP
4915,-499249.98999999993,-49.92499899999999,0.9374094732382039,52.88741070980405,30.53916581892167,-0.9206060647186897,False,-499249.98999999993,30,50,2.5
5174,-709565.75,-70.956575,0.9066219886411115,72.56786154401638,34.576729802860456,-0.958487271441895,False,-709565.75,30,50,2.0
4951,-727175.4100000001,-72.71754100000003,0.9032410999156755,74.96410831398838,30.256513835588773,-0.9567941139698748,False,-727175.4100000001,30,60,2.5
5120,-830514.04,-83.051404,0.8932312603212885,85.91817840512117,30.390625,-0.9500253259544188,False,-830514.04,30,40,2.5
5352,-855712.3699999999,-85.57123699999998,0.8832349616319819,86.92344941275255,34.52914798206278,-0.9709622378081025,False,-855712.3699999999,30,40,2.0
5459,-865218.2999999998,-86.52182999999998,0.8902544625923982,88.67851912859363,30.17036087195457,-0.9589159212662479,False,-865218.2999999998,20,40,2.5
5025,-871237.19,-87.123719,0.8626609769038001,88.10484211243612,34.308457711442784,-0.9805955823893748,False,-871237.19,30,60,2.0
5398,-888390.49,-88.839049,0.8776142293391808,90.36139504755387,30.066691367173025,-0.9588022523546414,False,-888390.49,20,50,2.5
5601,-902980.2300000001,-90.298023,0.8686771120745087,91.20294639454892,34.38671665773969,-0.9765193538207282,False,-902980.2300000001,20,40,2.0
5432,-915877.43,-91.58774300000002,0.8500854547878648,92.34301314866794,34.20471281296024,-0.972235212157218,False,-915877.43,20,50,2.0
5214,-922719.0599999999,-92.27190599999999,0.8376611858119306,92.96148571587068,34.11967779056387,-0.9854804149826046,False,-922719.0599999999,20,60,2.0
5235,-924744.66,-92.474466,0.8353714483521468,93.1350372079207,40.01910219675263,-0.9798421959136886,False,-924744.66,30,50,1.5
5439,-931430.27,-93.143027,0.8550052314106059,93.91031753638458,29.931972789115648,-0.9774962673953317,False,-931430.27,20,60,2.5
5024,-938261.2900000002,-93.82612900000001,0.8096983521827998,94.17477516881786,39.51035031847134,-0.993272453160449,False,-938261.2900000002,30,60,1.5
6036,-948852.2999999998,-94.88522999999998,0.8550326182693431,95.1131459754182,30.13585155732273,-0.9858289189669474,False,-948852.2999999998,10,40,2.5
5304,-949722.14,-94.972214,0.8059207873482382,95.51609623824223,39.89441930618401,-0.9812222694552064,False,-949722.14,20,50,1.5
5989,-955091.88,-95.509188,0.8346046681488057,95.67129505260006,34.029053264317916,-0.9768102198188368,False,-955091.88,10,50,2.0
5813,-955963.73,-95.596373,0.8390233472977291,95.93576106559016,29.74367796318596,-0.982327453853058,False,-955963.73,10,60,2.5
6115,-957460.29,-95.746029,0.853049698679378,96.13994100559091,30.024529844644317,-0.9716103174256188,False,-957460.29,10,50,2.5
5861,-959516.2400000001,-95.95162400000001,0.8311014794015493,95.99409341979161,34.07268384234772,-0.9890717411122179,False,-959516.2400000001,10,40,2.0
5318,-959866.8600000001,-95.986686,0.7944700835278952,96.33557654070299,39.39450921399022,-0.9933527103305549,False,-959866.8600000001,20,60,1.5
5053,-959988.6699999999,-95.99886699999999,0.7905939576486507,96.45176446178544,39.481496140906394,-0.977784424753264,False,-959988.6699999999,30,40,1.5
5301,-964332.34,-96.433234,0.7954819349523128,96.84963735538474,39.3510658366346,-0.9781735544863918,False,-964332.34,20,40,1.5
5812,-970669.96,-97.06699599999999,0.8064801741305686,97.14927889666059,33.65450791465933,-0.9880460741964846,False,-970669.96,10,60,2.0
6212,-975016.99,-97.501699,0.8019935779939555,97.54328413010698,39.79394719896974,-0.9859639804611853,False,-975016.99,10,50,1.5
5952,-977834.3099999998,-97.783431,0.7901031109012606,97.8822734248879,39.667338709677416,-0.9859323839474389,False,-977834.3099999998,10,40,1.5
6156,-983745.2899999999,-98.374529,0.7836400092624292,98.3817204079474,39.278752436647174,-0.9955030269255691,False,-983745.2899999999,10,60,1.5
