trades,net,net_pct,pf,dd_pct,win_pct,recovery,passed,objective,EMAFast,EMAMid,RatioTP
4898,-705885.89,-70.588589,0.862371317997734,71.03759496764985,26.643527970600246,-0.9913842645563271,False,-705885.89,30,50,2.5
5452,-740461.76,-74.046176,0.8644322646517869,74.73815245535599,27.47615553925165,-0.9809951357616358,False,-740461.76,20,40,2.5
5137,-744207.8400000001,-74.42078400000001,0.8624040921605094,75.24764479299719,27.506326649795596,-0.9793259392415858,False,-744207.8400000001,30,40,2.5
5451,-762617.88,-76.261788,0.8492380454770662,76.63967484383814,35.24124013942396,-0.9937128871402132,False,-762617.88,30,50,1.5
5515,-781690.49,-78.169049,0.8397839989843284,78.48291981445335,35.08612873980054,-0.994643087701853,False,-781690.49,30,60,1.5
5547,-783370.8,-78.33708,0.854034703929673,78.80634725309615,26.194339282495044,-0.9864692277876864,False,-783370.8,20,50,2.5
6721,-805943.4299999999,-80.594343,0.867234882281229,81.24975208490912,26.692456479690524,-0.9807188816226087,False,-805943.4299999999,10,40,2.5
4955,-808931.31,-80.89313100000001,0.8352797075360137,81.24305333153751,26.215943491422806,-0.9933931901301971,False,-808931.31,30,60,2.5
5381,-831866.79,-83.18667900000001,0.845665450217337,83.76033678936749,30.793532800594686,-0.9872572741359148,False,-831866.79,30,40,2.0
5109,-832365.52,-83.236552,0.8350585829046191,83.5137987653028,29.751419064396163,-0.9948248796647067,False,-832365.52,30,50,2.0
6139,-848722.1099999999,-84.872211,0.8425005731682949,85.18025585035848,36.16224140739534,-0.9934727369363723,False,-848722.1099999999,20,40,1.5
5167,-850272.76,-85.027276,0.825576135425115,85.30118928198898,29.630346429262627,-0.9949333184929114,False,-850272.76,30,60,2.0
5699,-850997.35,-85.099735,0.8419148087731856,85.61186852259245,30.75978241796806,-0.9872405547524964,False,-850997.35,20,40,2.0
6906,-853769.25,-85.376925,0.8580789139181008,85.77326682003148,25.96293078482479,-0.9891328179917902,False,-853769.25,10,50,2.5
5800,-873272.22,-87.32722199999999,0.8366138666074633,87.63781314368079,36.03448275862069,-0.9939363401822044,False,-873272.22,30,40,1.5
6162,-887547.71,-88.754771,0.8293726388989893,89.0350301674193,34.939954560207724,-0.9957768205670039,False,-887547.71,20,50,1.5
5661,-917140.04,-91.714004,0.8199164355276265,91.8947343221649,29.62374138844727,-0.9955146376487094,False,-917140.04,20,50,2.0
7284,-921239.18,-92.123918,0.8302302207522326,93.039675296796,35.32399780340472,-0.9886447199591893,False,-921239.18,10,50,1.5
6861,-923032.5700000001,-92.303257,0.8409177928045738,92.60001593220842,30.24340475149395,-0.9925718671679451,False,-923032.5700000001,10,40,2.0
6868,-923909.99,-92.390999,0.8336605372884789,92.96825532975942,29.979615608619685,-0.9911889522473625,False,-923909.99,10,50,2.0
5467,-932730.95,-93.273095,0.8100362427090972,93.47916049456613,25.71794402780318,-0.9953122954679485,False,-932730.95,20,60,2.5
6098,-933131.19,-93.313119,0.8069641801767933,93.65757771017834,34.53591341423417,-0.9953317928588257,False,-933131.19,20,60,1.5
7115,-934022.5299999999,-93.40225299999999,0.8296353952157108,93.65198085283754,35.85382993675334,-0.9956259497525443,False,-934022.5299999999,10,40,1.5
6622,-938614.92,-93.861492,0.8308644031200737,94.15551638530283,25.943823618242224,-0.989947614083295,False,-938614.92,10,60,2.5
7159,-952924.44,-95.292444,0.8123550756309571,95.79185146725514,35.08869953904177,-0.9932668367153411,False,-952924.44,10,60,1.5
6720,-954275.5699999998,-95.42755699999998,0.8176830324371681,95.63940478564314,29.82142857142857,-0.9948005304029001,False,-954275.5699999998,10,60,2.0
5514,-955102.87,-95.510287,0.7947685361338142,95.63358271901933,29.143997098295248,-0.9969212750304018,False,-955102.87,20,60,2.0
